4-HYDROXYPHENYLPYRUVATE_BIOSYNTHESIS	4-hydroxyphenylpyruvate biosynthesis	AT5G51690,AT5G53970,AT1G62960
XYLOGLUCAN_BIOSYNTHESIS	xyloglucan biosynthesis	AT3G62720,AT4G02500,AT2G20370,AT2G03220
XYLOGALACTURONAN_BIOSYNTHESIS	xylogalacturonan biosynthesis	AT5G33290
STARCH_BIOSYNTHESIS	starch biosynthesis	AT5G51820,AT1G27680,AT4G18240,AT1G11720,AT3G20440,AT1G70730,AT5G65685,AT2G36390,AT2G21590,AT1G32900,AT5G42740,AT5G19220,AT5G48300,AT1G05610,AT5G03650,AT4G39210,AT5G18070,AT4G24620,AT1G23190
SUBERIN_BIOSYNTHESIS	suberin biosynthesis	AT1G51680,AT2G37040,AT4G00360,AT1G65060,AT1G72970,AT1G01600,AT1G67980,AT3G10340,AT1G67990,AT3G21230,AT4G34050,AT1G69500,AT5G23190,AT5G58860,AT1G24735,AT3G21240,AT3G53260,AT2G45970,AT5G04230,AT2G27690,AT5G54160,AT2G40890,AT4G26220,AT2G30490
SPOROPOLLENIN_PRECURSOR_BIOSYNTHESIS	sporopollenin precursor biosynthesis	AT1G62940,AT4G34850,AT1G01280,AT1G69500,AT1G02050,AT4G35420,AT1G68540
CUTICULAR_WAX_BIOSYNTHESIS	cuticular wax biosynthesis	AT1G57750,AT3G11980,AT4G33790,AT3G56700,AT1G02205,AT5G57800,AT3G44560,AT3G44550,AT2G37700,AT3G44540,AT1G02190,AT5G37300,AT5G22500,AT5G22420
CUTIN_BIOSYNTHESIS	cutin biosynthesis	AT4G00360,AT1G72970,AT1G01600,AT3G10570,AT1G69500,AT5G58860,AT2G45970,AT2G27690
PHENYLPROPANOID_BIOSYNTHESIS	phenylpropanoid biosynthesis	AT1G51680,AT3G19450,AT5G41040,AT1G65060,AT1G15950,AT1G67980,AT1G80820,AT1G67990,AT5G48930,AT3G21230,AT3G48720,AT4G34230,AT4G34050,AT1G24735,AT3G21240,AT5G63560,AT5G04330,AT4G36220,AT2G40890,AT4G26220
XYLAN_BIOSYNTHESIS	xylan biosynthesis	AT4G36890,AT2G37090
MOLYBDENUM_COFACTOR_BIOSYNTHESIS	molybdenum cofactor biosynthesis	AT5G20990,AT1G01290,AT1G16540,AT4G10100,AT2G43760,AT2G31955
MEVALONATE_PATHWAY_I	mevalonate pathway I	AT4G11820,AT3G54250,AT2G38700,AT5G16440,AT1G76490,AT5G47720,AT5G48230,AT5G27450,AT3G02780,AT1G79690
POLYISOPRENOID_BIOSYNTHESIS	polyisoprenoid biosynthesis	AT5G47770,AT1G78510,AT1G17050,AT4G17190,AT2G18620
S-ADENOSYLMETHIONINE_BIOSYNTHESIS	S-adenosylmethionine biosynthesis	AT2G36880,AT4G01850,AT1G02500,AT3G17390
COENZYME_A_BIOSYNTHESIS	coenzyme A biosynthesis	AT1G48605,AT4G32180,AT3G18030,AT1G60440,AT1G12350,AT5G02080,AT2G18250,AT2G27490
LIPOATE_BIOSYNTHESIS_AND_INCORPORATION_I	lipoate biosynthesis and incorporation I	AT4G14070,AT2G20860,AT5G08415
NAD/NADH_PHOSPHORYLATION_AND_DEPHOSPHORYLATION	NAD/NADH phosphorylation and dephosphorylation	AT1G16700,AT3G03100,AT2G02050,AT2G31490,NAD5a,AT3G57785,AT5G11770,ATCG00420,NAD1a,AT4G02580,AT2G47690,AT3G12260,AT3G21070,AT5G08530,AT1G47260,NAD5b,AT3G48680,AT1G49140,AT5G66510,AT4G20150,AT5G37510,AT2G33220,AT5G63510,NAD7,AT3G08610,AT2G27730,AT1G21640,NAD5c,AT2G42310,AT2G20360,AT4G16450,ATMG01320,AT5G67590,AT5G52840,ATCG01090,ATMG00285,AT1G79010,NAD9,NAD1b,AT1G78590
PYRIDINE_NUCLEOTIDE_CYCLING_	pyridine nucleotide cycling (plants)	AT5G45940,AT5G23220,AT2G22570,AT5G23230,AT4G36940,AT2G23420,AT1G55090,AT5G55810
NAD_BIOSYNTHESIS_I_	NAD biosynthesis I (from aspartate)	AT2G01350,AT5G50210,AT5G14760,AT1G55090,AT5G55810
METHYLERYTHRITOL_PHOSPHATE_PATHWAY	methylerythritol phosphate pathway	AT4G34350,AT5G16440,AT5G38430,ATCG00490,AT4G15560,AT5G62790,AT5G11380,AT3G21500,AT2G02500,AT5G38420,AT1G63970,AT5G38410,AT1G67090,AT3G02780,AT5G60600,AT1G79690
GERANYLDIPHOSPHATE_BIOSYNTHESIS	geranyldiphosphate biosynthesis	AT2G34630,AT5G47770,AT4G17190
NONAPRENYL_DIPHOSPHATE_BIOSYNTHESIS_III	nonaprenyl diphosphate biosynthesis III	AT3G14530,AT3G14550,AT3G59380,AT1G49530,AT3G20160,AT4G36810,AT5G40280,AT3G29430,AT1G78510,AT2G18640,AT2G23800,AT1G17050,AT3G32040,AT2G18620
NONAPRENYL_DIPHOSPHATE_BIOSYNTHESIS_II	nonaprenyl diphosphate biosynthesis II	AT1G78510,AT1G17050
TRANSTRANS-FARNESYL_DIPHOSPHATE_BIOSYNTHESIS	trans,trans-farnesyl diphosphate biosynthesis	AT5G16440,AT2G34630,AT5G47770,AT3G02780,AT4G17190,AT1G79690,AT2G18620
FARNESYLCYSTEINE_SALVAGE_PATHWAY	farnesylcysteine salvage pathway	AT5G63910
GERANYLGERANYLDIPHOSPHATE_BIOSYNTHESIS	geranylgeranyldiphosphate biosynthesis	AT3G14530,AT3G14550,AT3G59380,AT1G49530,AT3G20160,AT4G36810,AT5G40280,AT3G29430,AT1G78510,AT2G18640,AT2G23800,AT1G17050,AT3G32040,AT2G18620
SIROHEME_BIOSYNTHESIS	siroheme biosynthesis	AT1G50170,AT5G40850
CHLOROPHYLL_A_BIOSYNTHESIS_II	chlorophyll a biosynthesis II	AT1G74470,AT3G51820
CHLOROPHYLL_CYCLE_PLANTCYC	chlorophyll cycle	AT5G04900,AT1G44446,AT4G13250,AT3G51820
CHLOROPHYLL_A_BIOSYNTHESIS_I	chlorophyll a biosynthesis I	AT3G51820
